No.,"(x,y)",1,2,3
572,"9,16",-63,-50,-50
573,"10,17",-65,-53,-50
574,"10,17",-62,-53,-48
575,"10,17",-60,-53,-53
576,"10,17",-64,-49,-49
577,"10,17",-63,-49,-52
578,"10,17",-62,-46,-48
579,"10,17",-62,-46,-50
580,"10,17",-62,-49,-50
581,"10,17",-60,-59,-46
582,"10,17",-58,-54,-44
583,"10,17",-58,-53,-46
584,"10,17",-68,-55,-46
585,"10,17",-59,-48,-50
586,"11,18",-62,-53,-45
587,"11,18",-60,-60,-47
588,"11,18",-60,-60,-49
589,"11,18",-60,-43,-52
590,"11,18",-59,-44,-52
591,"11,18",-60,-51,-49
592,"11,18",-61,-56,-52
593,"11,18",-67,-52,-46
594,"11,18",-67,-47,-50
595,"11,18",-67,-51,-49
596,"11,18",-62,-56,-41
597,"11,18",-62,-57,-45
598,"9,18",-61,-49,-49
599,"9,18",-59,-50,-47
600,"9,18",-64,-47,-45
601,"9,18",-65,-50,-47
602,"9,18",-63,-50,-48
603,"9,18",-63,-51,-45
604,"9,18",-63,-52,-45
605,"9,18",-61,-52,-50
606,"9,18",-60,-52,-46
607,"9,18",-60,-47,-47
608,"9,18",-60,-46,-47
609,"9,18",-61,-47,-48
610,"9,18",-61,-47,-51
611,"8,19",-60,-42,-47
612,"8,19",-60,-46,-45
613,"8,19",-58,-48,-41
614,"8,19",-64,-47,-48
615,"8,19",-64,-48,-43
616,"8,19",-64,-44,-49
617,"8,19",-59,-44,-41
618,"8,19",-57,-65,-51
619,"8,19",-57,-46,-41
620,"8,19",-57,-45,-43
621,"8,19",-55,-42,-40
622,"8,19",-57,-45,-41
623,"8,19",-58,-43,-39
624,"9,20",-53,-44,-47
625,"9,20",-54,-44,-47
626,"9,20",-54,-47,-47
627,"9,20",-54,-47,-50
628,"9,20",-54,-50,-51
629,"9,20",-54,-49,-51
630,"9,20",-54,-49,-50
631,"9,20",-55,-45,-47
632,"9,20",-53,-44,-47
633,"9,20",-53,-45,-47
634,"9,20",-53,-47,-47
635,"9,20",-54,-44,-47
636,"9,20",-53,-50,-47
637,"10,21",-59,-47,-48
638,"10,21",-65,-44,-55
639,"10,21",-61,-44,-48
640,"10,21",-61,-44,-49
641,"10,21",-67,-45,-56
642,"10,21",-67,-44,-51
643,"10,21",-62,-45,-51
644,"10,21",-62,-44,-51
645,"10,21",-62,-48,-52
646,"10,21",-62,-45,-53
647,"10,21",-62,-45,-53
648,"10,21",-63,-45,-54
649,"10,21",-64,-42,-50
650,"11,20",-67,-53,-48
651,"11,20",-63,-47,-56
652,"11,20",-69,-46,-50
653,"11,20",-63,-49,-60
654,"11,20",-72,-51,-48
